settings: 1920x1080 MEDIUM



players: num: 1
name: Player_1
num_of_lives: 3
score: 48
num_of_bonuses: 1
num_of_crashed_blocks: 3
platform: 
	position_x: 1000.000000
	position_y: 1063.800049
	size_x: 180.000000
	size_y: 16.199999
	speed_x: 20.000000
	speed_y: 0.000000
	visibility: 1



balls: num: 1
position_x: 1289.222290
position_y: 642.620605
size_x: 10.392304
size_y: 10.392304
speed_x: -5.000000
speed_y: 9.599999
visibility: 1



blocks: num: 84
position_x: 8.533334
position_y: 73.615097
size_x: 128.000000
size_y: 61.705715
lives: 1
visibility: 1
cant_break: 0
bonuses: num: 1
	position_x: 21.333334
	position_y: 73.615097
	size_x: 102.400002
	size_y: 49.364574
	visibility: 0
	descriptor: 6
	bonuses_score_value: 17

position_x: 8.533334
position_y: 144.135925
size_x: 128.000000
size_y: 61.705715
lives: 1
visibility: 1
cant_break: 0
bonuses: num: 1
	position_x: 21.333334
	position_y: 144.135925
	size_x: 102.400002
	size_y: 49.364574
	visibility: 0
	descriptor: 6
	bonuses_score_value: 25

position_x: 8.533334
position_y: 214.656738
size_x: 128.000000
size_y: 61.705715
lives: 1
visibility: 1
cant_break: 0
bonuses: num: 1
	position_x: 21.333334
	position_y: 214.656738
	size_x: 102.400002
	size_y: 49.364574
	visibility: 0
	descriptor: 6
	bonuses_score_value: 13

position_x: 8.533334
position_y: 285.177551
size_x: 128.000000
size_y: 61.705715
lives: 1
visibility: 1
cant_break: 0
bonuses: num: 2
	position_x: 21.333334
	position_y: 285.177551
	size_x: 102.400002
	size_y: 49.364574
	visibility: 0
	descriptor: 1
	bonuses_score_value: 0
	position_x: 21.333334
	position_y: 285.177551
	size_x: 102.400002
	size_y: 49.364574
	visibility: 0
	descriptor: 6
	bonuses_score_value: 16

position_x: 8.533334
position_y: 355.698364
size_x: 128.000000
size_y: 61.705715
lives: 1
visibility: 1
cant_break: 0
bonuses: num: 1
	position_x: 21.333334
	position_y: 355.698364
	size_x: 102.400002
	size_y: 49.364574
	visibility: 0
	descriptor: 6
	bonuses_score_value: 17

position_x: 8.533334
position_y: 426.219177
size_x: 128.000000
size_y: 61.705715
lives: 1
visibility: 1
cant_break: 1
bonuses: num: 1
	position_x: 21.333334
	position_y: 426.219177
	size_x: 102.400002
	size_y: 49.364574
	visibility: 0
	descriptor: 6
	bonuses_score_value: 27

position_x: 145.066666
position_y: 73.615097
size_x: 128.000000
size_y: 61.705715
lives: 1
visibility: 1
cant_break: 0
bonuses: num: 1
	position_x: 157.866669
	position_y: 73.615097
	size_x: 102.400002
	size_y: 49.364574
	visibility: 0
	descriptor: 6
	bonuses_score_value: 12

position_x: 145.066666
position_y: 144.135925
size_x: 128.000000
size_y: 61.705715
lives: 1
visibility: 1
cant_break: 0
bonuses: num: 1
	position_x: 157.866669
	position_y: 144.135925
	size_x: 102.400002
	size_y: 49.364574
	visibility: 0
	descriptor: 6
	bonuses_score_value: 17

position_x: 145.066666
position_y: 214.656738
size_x: 128.000000
size_y: 61.705715
lives: 1
visibility: 1
cant_break: 0
bonuses: num: 2
	position_x: 157.866669
	position_y: 214.656738
	size_x: 102.400002
	size_y: 49.364574
	visibility: 0
	descriptor: 3
	bonuses_score_value: 0
	position_x: 157.866669
	position_y: 214.656738
	size_x: 102.400002
	size_y: 49.364574
	visibility: 0
	descriptor: 6
	bonuses_score_value: 12

position_x: 145.066666
position_y: 285.177551
size_x: 128.000000
size_y: 61.705715
lives: 1
visibility: 1
cant_break: 0
bonuses: num: 2
	position_x: 157.866669
	position_y: 285.177551
	size_x: 102.400002
	size_y: 49.364574
	visibility: 0
	descriptor: 0
	bonuses_score_value: 0
	position_x: 157.866669
	position_y: 285.177551
	size_x: 102.400002
	size_y: 49.364574
	visibility: 0
	descriptor: 6
	bonuses_score_value: 29

position_x: 145.066666
position_y: 355.698364
size_x: 128.000000
size_y: 61.705715
lives: 1
visibility: 1
cant_break: 0
bonuses: num: 2
	position_x: 157.866669
	position_y: 355.698364
	size_x: 102.400002
	size_y: 49.364574
	visibility: 0
	descriptor: 0
	bonuses_score_value: 0
	position_x: 157.866669
	position_y: 355.698364
	size_x: 102.400002
	size_y: 49.364574
	visibility: 0
	descriptor: 6
	bonuses_score_value: 25

position_x: 145.066666
position_y: 426.219177
size_x: 128.000000
size_y: 61.705715
lives: 1
visibility: 1
cant_break: 0
bonuses: num: 1
	position_x: 157.866669
	position_y: 426.219177
	size_x: 102.400002
	size_y: 49.364574
	visibility: 0
	descriptor: 6
	bonuses_score_value: 23

position_x: 281.600006
position_y: 73.615097
size_x: 128.000000
size_y: 61.705715
lives: 1
visibility: 1
cant_break: 0
bonuses: num: 1
	position_x: 294.399994
	position_y: 73.615097
	size_x: 102.400002
	size_y: 49.364574
	visibility: 0
	descriptor: 6
	bonuses_score_value: 15

position_x: 281.600006
position_y: 144.135925
size_x: 128.000000
size_y: 61.705715
lives: 1
visibility: 1
cant_break: 0
bonuses: num: 1
	position_x: 294.399994
	position_y: 144.135925
	size_x: 102.400002
	size_y: 49.364574
	visibility: 0
	descriptor: 6
	bonuses_score_value: 26

position_x: 281.600006
position_y: 214.656738
size_x: 128.000000
size_y: 61.705715
lives: 1
visibility: 1
cant_break: 0
bonuses: num: 1
	position_x: 294.399994
	position_y: 214.656738
	size_x: 102.400002
	size_y: 49.364574
	visibility: 0
	descriptor: 6
	bonuses_score_value: 23

position_x: 281.600006
position_y: 285.177551
size_x: 128.000000
size_y: 61.705715
lives: 1
visibility: 1
cant_break: 1
bonuses: num: 1
	position_x: 294.399994
	position_y: 285.177551
	size_x: 102.400002
	size_y: 49.364574
	visibility: 0
	descriptor: 6
	bonuses_score_value: 11

position_x: 281.600006
position_y: 355.698364
size_x: 128.000000
size_y: 61.705715
lives: 1
visibility: 1
cant_break: 0
bonuses: num: 1
	position_x: 294.399994
	position_y: 355.698364
	size_x: 102.400002
	size_y: 49.364574
	visibility: 0
	descriptor: 6
	bonuses_score_value: 19

position_x: 281.600006
position_y: 426.219177
size_x: 128.000000
size_y: 61.705715
lives: 1
visibility: 1
cant_break: 0
bonuses: num: 2
	position_x: 294.399994
	position_y: 426.219177
	size_x: 102.400002
	size_y: 49.364574
	visibility: 0
	descriptor: 2
	bonuses_score_value: 0
	position_x: 294.399994
	position_y: 426.219177
	size_x: 102.400002
	size_y: 49.364574
	visibility: 0
	descriptor: 6
	bonuses_score_value: 18

position_x: 418.133331
position_y: 73.615097
size_x: 128.000000
size_y: 61.705715
lives: 1
visibility: 1
cant_break: 1
bonuses: num: 2
	position_x: 430.933319
	position_y: 73.615097
	size_x: 102.400002
	size_y: 49.364574
	visibility: 0
	descriptor: 0
